"Genus","taxon_beta","BDI_category_antidepressant_uselow+yes_beta","BDI_category_antidepressant_usehigh+no_beta","BDI_category_antidepressant_usehigh+yes_beta","taxon_se","BDI_category_antidepressant_uselow+yes_se","BDI_category_antidepressant_usehigh+no_se","BDI_category_antidepressant_usehigh+yes_se","taxon_W","BDI_category_antidepressant_uselow+yes_W","BDI_category_antidepressant_usehigh+no_W","BDI_category_antidepressant_usehigh+yes_W","taxon_p_val","BDI_category_antidepressant_uselow+yes_p_val","BDI_category_antidepressant_usehigh+no_p_val","BDI_category_antidepressant_usehigh+yes_p_val","taxon_q_val","BDI_category_antidepressant_uselow+yes_q_val","BDI_category_antidepressant_usehigh+no_q_val","BDI_category_antidepressant_usehigh+yes_q_val","taxon_diff_abn","BDI_category_antidepressant_uselow+yes_diff_abn","BDI_category_antidepressant_usehigh+no_diff_abn","BDI_category_antidepressant_usehigh+yes_diff_abn"
"17","a0ac269acfcd16c66700762ee6340b07",-0.680167712868632,-0.937879847259984,0.137900522030345,"a0ac269acfcd16c66700762ee6340b07",0.412735795046942,0.511092019398246,0.50380194612059,"a0ac269acfcd16c66700762ee6340b07",-1.64794941711143,-1.83505085515566,0.273719708890004,"a0ac269acfcd16c66700762ee6340b07",0.0993630515034191,0.0664981546666029,0.784300030491651,"a0ac269acfcd16c66700762ee6340b07",0.570799674124962,0.262098732962339,0.982590620158387,"a0ac269acfcd16c66700762ee6340b07",FALSE,FALSE,FALSE
"18","0bc4e35da130d9cb9fc1090c80011153",0.306539336657145,-0.559798299971985,0.761751541637302,"0bc4e35da130d9cb9fc1090c80011153",0.360680813742868,0.483377552307558,0.299349844134712,"0bc4e35da130d9cb9fc1090c80011153",0.849890886837355,-1.15809742777588,2.54468661521835,"0bc4e35da130d9cb9fc1090c80011153",0.395385752678698,0.246824279587015,0.0109375850454257,"0bc4e35da130d9cb9fc1090c80011153",0.8370044680422,0.612805107940176,0.0984382654088315,"0bc4e35da130d9cb9fc1090c80011153",FALSE,FALSE,FALSE
"19","76d6be90e19a660c9a84b35fa31d801c",-0.0749227061876217,-0.709374788319113,0.882573234729357,"76d6be90e19a660c9a84b35fa31d801c",0.281854137431659,0.324130229589016,0.334567294690645,"76d6be90e19a660c9a84b35fa31d801c",-0.265820849288714,-2.18854868679966,2.63795430317067,"76d6be90e19a660c9a84b35fa31d801c",0.790377185316,0.028629658889112,0.00834078205475142,"76d6be90e19a660c9a84b35fa31d801c",0.907587665996622,0.15856426461662,0.0984382654088315,"76d6be90e19a660c9a84b35fa31d801c",FALSE,FALSE,FALSE
"20","b2282677ff1ba19e9700383f454417bd",-0.851581823055298,-0.527756687134337,-0.00663569775004735,"b2282677ff1ba19e9700383f454417bd",0.884877668971919,1.42876768699717,0.964679450415325,"b2282677ff1ba19e9700383f454417bd",-0.96237237407595,-0.369378935384184,-0.00687865564793619,"b2282677ff1ba19e9700383f454417bd",0.335862585640326,0.711845296699811,0.994511670140347,"b2282677ff1ba19e9700383f454417bd",0.8370044680422,0.862942017917365,0.994511670140347,"b2282677ff1ba19e9700383f454417bd",FALSE,FALSE,FALSE
"21","f3270b7f9b020567e59ec30f7d15fc14",-0.962863139487536,-1.84672477007038,-0.281596845777673,"f3270b7f9b020567e59ec30f7d15fc14",0.526157533525378,0,0.461354541471132,"f3270b7f9b020567e59ec30f7d15fc14",-1.82999021801727,-5.54406789410586,-0.610369727541294,"f3270b7f9b020567e59ec30f7d15fc14",0.0672514015769236,0,0.541616916809505,"f3270b7f9b020567e59ec30f7d15fc14",0.440190992139864,0,0.894254208792401,"f3270b7f9b020567e59ec30f7d15fc14",FALSE,TRUE,FALSE
"22","76aa915543cd876d620ebeafeb9fd767",0.260871480200871,0.0617022729835518,0.887914814964426,"76aa915543cd876d620ebeafeb9fd767",0.64720340871843,0.470552961992165,0.597485580848007,"76aa915543cd876d620ebeafeb9fd767",0.40307494782427,0.131127158826766,1.48608576244504,"76aa915543cd876d620ebeafeb9fd767",0.686893089683406,0.895674717015022,0.13725643771751,"76aa915543cd876d620ebeafeb9fd767",0.880863907974857,0.934617096015675,0.411769313152531,"76aa915543cd876d620ebeafeb9fd767",FALSE,FALSE,FALSE
"23","1daf7490935642942f91e007dfefa7e9",0.930639731864104,-1.21226972180707,1.11621445163376,"1daf7490935642942f91e007dfefa7e9",0.426095220606862,0.5025867882425,0.446615017718412,"1daf7490935642942f91e007dfefa7e9",2.18411211122868,-2.41206046431555,2.49927657456768,"1daf7490935642942f91e007dfefa7e9",0.0289540109490816,0.0158626506509526,0.0124447144332366,"1daf7490935642942f91e007dfefa7e9",0.360786997209945,0.103828258806235,0.0995577154658929,"1daf7490935642942f91e007dfefa7e9",FALSE,FALSE,FALSE
"24","3d514b698192fb4c2a0445c3498b2cfb",0.0868458192344683,0.261701075939718,0.146482744898675,"3d514b698192fb4c2a0445c3498b2cfb",0.332819824053679,0.224031208105537,0.447685237302647,"3d514b698192fb4c2a0445c3498b2cfb",0.260939442178364,1.16814562646306,0.327200302116839,"3d514b698192fb4c2a0445c3498b2cfb",0.794139207747044,0.242748028675784,0.743516392397879,"3d514b698192fb4c2a0445c3498b2cfb",0.907587665996622,0.612805107940176,0.982590620158387,"3d514b698192fb4c2a0445c3498b2cfb",FALSE,FALSE,FALSE
"25","6e373fe39ea68760cf9b2bf171476a55",1.11757235794379,-0.070286754721288,1.21804445091309,"6e373fe39ea68760cf9b2bf171476a55",0.772711010650648,1.06788808521742,0.699891288818826,"6e373fe39ea68760cf9b2bf171476a55",1.44630054773356,-0.0658184651502856,1.74033377807677,"6e373fe39ea68760cf9b2bf171476a55",0.148092922207955,0.947522355048404,0.0818004261674468,"6e373fe39ea68760cf9b2bf171476a55",0.59237168883182,0.974594422335501,0.334102088420647,"6e373fe39ea68760cf9b2bf171476a55",FALSE,FALSE,FALSE
"26","8b5a8533bda75eff587881ff530f15ec",-0.976933312383991,-1.3449031448362,0.0670493924228066,"8b5a8533bda75eff587881ff530f15ec",0,0,0.529407603257525,"8b5a8533bda75eff587881ff530f15ec",-3.11340928711219,-4.50845035383452,0.126649847887037,"8b5a8533bda75eff587881ff530f15ec",0,0,0.899217541663823,"8b5a8533bda75eff587881ff530f15ec",0,0,0.982590620158387,"8b5a8533bda75eff587881ff530f15ec",TRUE,TRUE,FALSE
"27","79a123f051e7c2965a46226b1d95246e",0.596682264649048,-0.43673689879398,0.570944162208567,"79a123f051e7c2965a46226b1d95246e",0.471849179005354,0.665001647096834,0.509494969250939,"79a123f051e7c2965a46226b1d95246e",1.26456141326099,-0.656745589579547,1.12060804652884,"79a123f051e7c2965a46226b1d95246e",0.206028592689042,0.511344515166885,0.262454738400369,"79a123f051e7c2965a46226b1d95246e",0.74170293368055,0.769725148394673,0.726797737108715,"79a123f051e7c2965a46226b1d95246e",FALSE,FALSE,FALSE
"28","ce7e172e3d64bc42dddb2f4aa26e3a03",1.93147640349742,-1.18531252152257,1.35028422318468,"ce7e172e3d64bc42dddb2f4aa26e3a03",0.608482514609484,0.437052321784474,0.586302372611798,"ce7e172e3d64bc42dddb2f4aa26e3a03",3.17425128433972,-2.71206091912054,2.30305092774838,"ce7e172e3d64bc42dddb2f4aa26e3a03",0.00150223574668483,0.00668663028219778,0.0212759778501078,"ce7e172e3d64bc42dddb2f4aa26e3a03",0.0665781667598635,0.06017967253978,0.153187040520776,"ce7e172e3d64bc42dddb2f4aa26e3a03",FALSE,FALSE,FALSE
"29","4c8288bfbd76958c0c094d87b97650f8",-0.978453873602266,-1.56968365284494,1.37034613597834,"4c8288bfbd76958c0c094d87b97650f8",0.614117088222621,0.64424517888717,0.817553645930734,"4c8288bfbd76958c0c094d87b97650f8",-1.59326925168962,-2.43646938197708,1.67615439402547,"4c8288bfbd76958c0c094d87b97650f8",0.111099801484112,0.0148314250000206,0.0937079546172147,"4c8288bfbd76958c0c094d87b97650f8",0.570799674124962,0.103828258806235,0.334102088420647,"4c8288bfbd76958c0c094d87b97650f8",FALSE,FALSE,FALSE
"30","1d25e5714547bb8a8f93b8364d36889e",0.113346414398317,1.16891225733174,-0.427751412129442,"1d25e5714547bb8a8f93b8364d36889e",0.6524294664738,0.583434017616882,0.603785302921054,"1d25e5714547bb8a8f93b8364d36889e",0.173729759648845,2.00350377598194,-0.708449526777188,"1d25e5714547bb8a8f93b8364d36889e",0.862077848342051,0.0451232427063168,0.478666145542937,"1d25e5714547bb8a8f93b8364d36889e",0.928053088009432,0.203054592178426,0.869691193610687,"1d25e5714547bb8a8f93b8364d36889e",FALSE,FALSE,FALSE
"31","c6faae06a70c97500e4f329b617e70b7",0.392993911676679,-1.29185834432125,0.210644681944205,"c6faae06a70c97500e4f329b617e70b7",0.735933821229686,0.855543146236444,0.82984514094961,"c6faae06a70c97500e4f329b617e70b7",0.53400713534271,-1.50998619999957,0.253836133453959,"c6faae06a70c97500e4f329b617e70b7",0.593336597408664,0.131046945504066,0.799622156997714,"c6faae06a70c97500e4f329b617e70b7",0.879963989926103,0.449303813156798,0.982590620158387,"c6faae06a70c97500e4f329b617e70b7",FALSE,FALSE,FALSE
"32","059d6e79cba765d062053442b8ada21c",0.666145969338197,1.36528724243028,-0.751783735371228,"059d6e79cba765d062053442b8ada21c",0.762099430264898,0.488230723935248,0.715572621008092,"059d6e79cba765d062053442b8ada21c",0.874093251987672,2.79639763639979,-1.05060438773094,"059d6e79cba765d062053442b8ada21c",0.382067472068446,0.00516757778856087,0.29344032503028,"059d6e79cba765d062053442b8ada21c",0.8370044680422,0.06017967253978,0.754560835792149,"059d6e79cba765d062053442b8ada21c",FALSE,FALSE,FALSE
"33","855166a7ea9905b7590e5e5fb7da7866",-0.117036551970263,0.488128172264305,-0.207855520342362,"855166a7ea9905b7590e5e5fb7da7866",0.314264848182342,0.465588379147457,0.34468516500281,"855166a7ea9905b7590e5e5fb7da7866",-0.372413754345048,1.04841141687883,-0.603030073373383,"855166a7ea9905b7590e5e5fb7da7866",0.709584814757524,0.294449095696347,0.546488683150912,"855166a7ea9905b7590e5e5fb7da7866",0.880863907974857,0.675864660347873,0.894254208792401,"855166a7ea9905b7590e5e5fb7da7866",FALSE,FALSE,FALSE
"34","278651ccb0f0d07cd2ab0837262dfc39",-0.0685555696991383,1.04806232346289,-0.246885961603323,"278651ccb0f0d07cd2ab0837262dfc39",0.57834260023461,1.01202449689149,0.473113355673405,"278651ccb0f0d07cd2ab0837262dfc39",-0.118537990580891,1.03560963858296,-0.521832576998208,"278651ccb0f0d07cd2ab0837262dfc39",0.905641395146087,0.300384293487944,0.601786905474235,"278651ccb0f0d07cd2ab0837262dfc39",0.931516863578832,0.675864660347873,0.941927330307498,"278651ccb0f0d07cd2ab0837262dfc39",FALSE,FALSE,FALSE
"35","b400719f5c1718b7025f0997a4e37540",-0.515678860071953,-1.02788926921063,-0.949259591437075,"b400719f5c1718b7025f0997a4e37540",0.821658909774323,0.439634253808908,0.451263261746099,"b400719f5c1718b7025f0997a4e37540",-0.627606971624745,-2.33805546384339,-2.10356054194186,"b400719f5c1718b7025f0997a4e37540",0.530261440535106,0.0193843711294994,0.0354167989546888,"b400719f5c1718b7025f0997a4e37540",0.87307606759936,0.116306226776996,0.231819047703418,"b400719f5c1718b7025f0997a4e37540",FALSE,FALSE,FALSE
"36","c43bbd203d077ba15c26090580d64d32",0.28974573391419,-0.159008963451579,1.86415617329421,"c43bbd203d077ba15c26090580d64d32",0.618500717314601,0.594448144569549,0.296878759818719,"c43bbd203d077ba15c26090580d64d32",0.468464669163529,-0.267490049223251,6.27918337584174,"c43bbd203d077ba15c26090580d64d32",0.639452331114986,0.789091874710186,3.40355968687285e-10,"c43bbd203d077ba15c26090580d64d32",0.880510117944009,0.887728359048959,2.45056297454845e-08,"c43bbd203d077ba15c26090580d64d32",FALSE,FALSE,TRUE
"37","d71fe67e73a45e78b36ab2586bb5dcc8",-0.265969791666288,-0.379280043079117,-0.658593727486349,"d71fe67e73a45e78b36ab2586bb5dcc8",0.375996406928493,0.532593458663986,0.61477394798414,"d71fe67e73a45e78b36ab2586bb5dcc8",-0.707373226885303,-0.7121380049063,-1.07127787318558,"d71fe67e73a45e78b36ab2586bb5dcc8",0.479334570260593,0.476379322146518,0.284044505816013,"d71fe67e73a45e78b36ab2586bb5dcc8",0.856089001950198,0.769725148394673,0.754560835792149,"d71fe67e73a45e78b36ab2586bb5dcc8",FALSE,FALSE,FALSE
"38","1941bdf9450a85f4069a80e526137af7",0.332799312787497,-0.165429193182562,-0.345005650698378,"1941bdf9450a85f4069a80e526137af7",0.388134604285749,0.320817119543031,0.520357412233449,"1941bdf9450a85f4069a80e526137af7",0.857432728524473,-0.51564951838667,-0.663016693117841,"1941bdf9450a85f4069a80e526137af7",0.39120577807309,0.606099218459972,0.507319862939567,"1941bdf9450a85f4069a80e526137af7",0.8370044680422,0.808132291279962,0.869691193610687,"1941bdf9450a85f4069a80e526137af7",FALSE,FALSE,FALSE
"39","6be7c1afdd690efab2c28453f0d304da",-0.668229522082199,0.297292573531593,0.493529059700934,"6be7c1afdd690efab2c28453f0d304da",0.632083719065394,0.475730215618413,0.559808054900151,"6be7c1afdd690efab2c28453f0d304da",-1.05718515115411,0.624918417563902,0.881604070146796,"6be7c1afdd690efab2c28453f0d304da",0.290427095265862,0.532024603804945,0.377990953326014,"6be7c1afdd690efab2c28453f0d304da",0.8370044680422,0.769725148394673,0.800451430572734,"6be7c1afdd690efab2c28453f0d304da",FALSE,FALSE,FALSE
"40","d3f1d99ffce8ccadfd2ee75f7b86b0c5",0.240597364613631,0.150987867690983,0.815183710945651,"d3f1d99ffce8ccadfd2ee75f7b86b0c5",0.294268583386426,0.44598957436708,0.407733894445618,"d3f1d99ffce8ccadfd2ee75f7b86b0c5",0.817611454966924,0.338545733732128,1.99930327610862,"d3f1d99ffce8ccadfd2ee75f7b86b0c5",0.413579084565661,0.734951968926351,0.0455755499242387,"d3f1d99ffce8ccadfd2ee75f7b86b0c5",0.8370044680422,0.862942017917365,0.273453299545432,"d3f1d99ffce8ccadfd2ee75f7b86b0c5",FALSE,FALSE,FALSE
"41","0b2e7a7da00f71987193e385a9a4a4d1",-0.0713868284076934,-0.4493926872632,0.647389060372715,"0b2e7a7da00f71987193e385a9a4a4d1",0.415554221099444,0.664652058646209,0.3570489933605,"0b2e7a7da00f71987193e385a9a4a4d1",-0.17178703712556,-0.676132243054422,1.81316590275069,"0b2e7a7da00f71987193e385a9a4a4d1",0.863604956897666,0.498956686987921,0.0698062371059849,"0b2e7a7da00f71987193e385a9a4a4d1",0.928053088009432,0.769725148394673,0.334102088420647,"0b2e7a7da00f71987193e385a9a4a4d1",FALSE,FALSE,FALSE
"42","7888dc681f2841bbc77d1f456dbda3d9",0.314343187436364,-0.166524070622932,-0.814733875712287,"7888dc681f2841bbc77d1f456dbda3d9",0.475145533860968,0.245678025509279,0.537556185712515,"7888dc681f2841bbc77d1f456dbda3d9",0.661572434201483,-0.677814266366461,-1.51562552411592,"7888dc681f2841bbc77d1f456dbda3d9",0.508245278750997,0.497889464347364,0.129614069254543,"7888dc681f2841bbc77d1f456dbda3d9",0.871277620715996,0.769725148394673,0.405748390709874,"7888dc681f2841bbc77d1f456dbda3d9",FALSE,FALSE,FALSE
"43","f3e1ff3be3a6f13f24666ea97d99cd0b",0.167193685575635,-0.440430031632072,0.726753457133159,"f3e1ff3be3a6f13f24666ea97d99cd0b",0.428077293538656,0.512165374549187,0.423381392320632,"f3e1ff3be3a6f13f24666ea97d99cd0b",0.390568918508958,-0.859937148269233,1.71654557879761,"f3e1ff3be3a6f13f24666ea97d99cd0b",0.6961159037727,0.389823689607696,0.0860622332804426,"f3e1ff3be3a6f13f24666ea97d99cd0b",0.880863907974857,0.769725148394673,0.334102088420647,"f3e1ff3be3a6f13f24666ea97d99cd0b",FALSE,FALSE,FALSE
"44","c5a684b3dfddaa1e68d4563ea771ed15",0.363298052110461,-0.492965856446796,-1.19006055262213,"c5a684b3dfddaa1e68d4563ea771ed15",0.583516271366733,0.472466310840275,0.623906643147871,"c5a684b3dfddaa1e68d4563ea771ed15",0.622601407942799,-1.04338837528979,-1.90743369331311,"c5a684b3dfddaa1e68d4563ea771ed15",0.533546485755164,0.296768455252574,0.0564644497559654,"c5a684b3dfddaa1e68d4563ea771ed15",0.87307606759936,0.675864660347873,0.312726183263808,"c5a684b3dfddaa1e68d4563ea771ed15",FALSE,FALSE,FALSE
"45","47837e1a0b06f78d52ce1faf831fec84",0.241547190817831,0.150518767097255,1.21862608563065,"47837e1a0b06f78d52ce1faf831fec84",0.343440097422712,0.332476631285675,0.474272732043616,"47837e1a0b06f78d52ce1faf831fec84",0.70331680147566,0.452719839331879,2.56946268106044,"47837e1a0b06f78d52ce1faf831fec84",0.481858342375072,0.650750491830076,0.0101856361958305,"47837e1a0b06f78d52ce1faf831fec84",0.856089001950198,0.836679203781526,0.0984382654088315,"47837e1a0b06f78d52ce1faf831fec84",FALSE,FALSE,FALSE
"46","86486b103104c344caa9a990b454797c",-0.470912505009752,0.326446952064572,1.90543618545333,"86486b103104c344caa9a990b454797c",0.596867070631377,0.686856214271078,0.544144492894784,"86486b103104c344caa9a990b454797c",-0.788973840543108,0.47527698706346,3.50170995081956,"86486b103104c344caa9a990b454797c",0.430127296077242,0.634589559656187,0.000462282583576271,"86486b103104c344caa9a990b454797c",0.8370044680422,0.830735423549918,0.0166421730087457,"86486b103104c344caa9a990b454797c",FALSE,FALSE,TRUE
"47","de021ed367003d69832c2a5461985f38",0.406950705573444,0.112916998178625,0.947448394902084,"de021ed367003d69832c2a5461985f38",0.389800631826156,0.477310387854745,0.344856932656303,"de021ed367003d69832c2a5461985f38",1.04399703937611,0.236569328998111,2.74736653140259,"de021ed367003d69832c2a5461985f38",0.296486759401051,0.812990916740732,0.00600759548596701,"de021ed367003d69832c2a5461985f38",0.8370044680422,0.890986878438805,0.086509374997925,"de021ed367003d69832c2a5461985f38",FALSE,FALSE,FALSE
"48","d4dcc0bc5f5a6e517ddf472187dbc2e7",0.460362426105909,0.918322630641195,-0.412652319477111,"d4dcc0bc5f5a6e517ddf472187dbc2e7",0.490657096464627,0.445791744750262,0.60553769533267,"d4dcc0bc5f5a6e517ddf472187dbc2e7",0.938256940382596,2.05998123889811,-0.681464296372843,"d4dcc0bc5f5a6e517ddf472187dbc2e7",0.348112382608952,0.0394003343988019,0.49557775099461,"d4dcc0bc5f5a6e517ddf472187dbc2e7",0.8370044680422,0.189121605114249,0.869691193610687,"d4dcc0bc5f5a6e517ddf472187dbc2e7",FALSE,FALSE,FALSE
"49","9691201d8e16b0f5dea56c10b06a64bb",0.765591567238169,0.336430506245924,-0.0231355704848175,"9691201d8e16b0f5dea56c10b06a64bb",0.384424214662121,0.4937059908007,0.524011151217077,"9691201d8e16b0f5dea56c10b06a64bb",1.99152794761138,0.68143897889571,-0.044150912496962,"9691201d8e16b0f5dea56c10b06a64bb",0.0464228758431336,0.495593765828856,0.964784110018596,"9691201d8e16b0f5dea56c10b06a64bb",0.414591839257573,0.769725148394673,0.992349370304841,"9691201d8e16b0f5dea56c10b06a64bb",FALSE,FALSE,FALSE
"50","c44642d31840ae8b6896c0bc0f5a8802",-0.286007359578523,-0.197589445554567,1.34691367097642,"c44642d31840ae8b6896c0bc0f5a8802",0.602497791285287,0.482419988421379,0.451951995367279,"c44642d31840ae8b6896c0bc0f5a8802",-0.474702751969255,-0.409579723678403,2.98021401560989,"c44642d31840ae8b6896c0bc0f5a8802",0.634998856156442,0.682114273394964,0.00288047060803862,"c44642d31840ae8b6896c0bc0f5a8802",0.880510117944009,0.856295070251685,0.0691312945929268,"c44642d31840ae8b6896c0bc0f5a8802",FALSE,FALSE,FALSE
"51","5fe7ab4157717cdcf56706e5c043b959",-0.793962338160155,-0.610384191001262,-0.775599588749998,"5fe7ab4157717cdcf56706e5c043b959",0.54583387227988,0.471528549743322,0.467972535402855,"5fe7ab4157717cdcf56706e5c043b959",-1.45458605352554,-1.29447981746498,-1.65736134083664,"5fe7ab4157717cdcf56706e5c043b959",0.14578389429613,0.195499736215771,0.097446442456022,"5fe7ab4157717cdcf56706e5c043b959",0.59237168883182,0.555527568884809,0.334102088420647,"5fe7ab4157717cdcf56706e5c043b959",FALSE,FALSE,FALSE
"52","a49ea569715664c78018691088f7aaac",-0.239634765887136,0.57081008145087,-0.337276600956011,"a49ea569715664c78018691088f7aaac",0.724845793491557,0.804273551458864,0.477953390103079,"a49ea569715664c78018691088f7aaac",-0.330601029955383,0.709721313619579,-0.705668393487639,"a49ea569715664c78018691088f7aaac",0.740945868132479,0.477876972433481,0.480394380795052,"a49ea569715664c78018691088f7aaac",0.896322361906961,0.769725148394673,0.869691193610687,"a49ea569715664c78018691088f7aaac",FALSE,FALSE,FALSE
