# Constructed from biom file
#OTU ID	F3058	F8055	F4820	F3829	F5494	F5808	F4693	F1996	F9955	F4369	F7477	F9537	F4697	F2141	F5026	F4225	F3309	F6730	F6852	F6828	F2299	F5362	F6661	F7762	F2976	F6135	F6365	F9759	F7642	F5285	F1257	F6186	F4484	F7249	F7763	F4660	F9739	F1774	F1544	F2869	F4541	F1559	F6336	F2946	F9523	F5723	F1452	F6178	F5845	F2185	F5071	F9349	F6580	F8133	F3965	F4186	F9567	F2919	F7610	F9848	F5429	F5201	F7276	F4451	F6445	F1413
86486b103104c344caa9a990b454797c	0.0	224.0	0.0	45.0	2.0	0.0	7.0	12.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	68.0	8.0	43.0	0.0	16.0	5.0	2.0	0.0	0.0	0.0	2.0	0.0	6.0	11.0	4.0	2.0	5.0	2.0	28.0	0.0	3.0	0.0	4.0	0.0	7.0	0.0	2.0	0.0	136.0	13.0	4.0	31.0	0.0	0.0	12.0	0.0	7.0	9.0	0.0	43.0	9.0	6.0	0.0	49.0	2.0	13.0	3.0	0.0	17.0	0.0
94adac1e5690b5aef26d6014e471f458	0.0	0.0	10.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	16.0	9.0	14.0	27.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	2.0	0.0	0.0	4.0	2.0
1daf7490935642942f91e007dfefa7e9	0.0	26.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	17.0	0.0	6.0	6.0	0.0	0.0	10.0	0.0	0.0	13.0	11.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	10.0	0.0	9.0	2.0	0.0	0.0	21.0	11.0	12.0	0.0	0.0
959a41695798ad7798d39740d7e9ae19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	6.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	15.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	19.0	3.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0
70a7fc1e8abb4b0f12d575589fafa75a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55b1170eb0e3da35c2392bd77fd788be	23.0	0.0	13.0	0.0	0.0	0.0	5.0	0.0	18.0	41.0	0.0	15.0	0.0	47.0	0.0	2.0	0.0	2.0	0.0	3.0	1.0	5.0	4.0	10.0	12.0	18.0	7.0	45.0	0.0	8.0	9.0	10.0	0.0	7.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	2.0	26.0	9.0	0.0	0.0	0.0	15.0	23.0	1.0	8.0	2.0	0.0	4.0	4.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	6.0	0.0	12.0
f3e1ff3be3a6f13f24666ea97d99cd0b	0.0	0.0	38.0	0.0	0.0	26.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	0.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	77.0	17.0	116.0	9.0	0.0	0.0	0.0	33.0	24.0	0.0	41.0	0.0	25.0	0.0	7.0	0.0	69.0	0.0	3.0	27.0	3.0	0.0	0.0	0.0	0.0	7.0	11.0	0.0	0.0	0.0	38.0	8.0	0.0	0.0	0.0	33.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0
7288e675d8c0fdc7687d5c37a9e6ee3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	294.0	398.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	379.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0980977cfa8b4edc7a2f8c8996c510ca	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85c51ab58e3beec0355a935d17f0758e	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	50.0	0.0	0.0	20.0	11.0	0.0	0.0	0.0	0.0	9.0	0.0	31.0	21.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	21.0	0.0	20.0	0.0	13.0	0.0	19.0	0.0	0.0	0.0	0.0	12.0	33.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	16.0	0.0	6.0	0.0	0.0	3.0	0.0	38.0
